iter	RMSE
0	0.4892500073
1	0.4833602674
2	0.4774844156
3	0.4716161528
4	0.4653108018
5	0.4597774196
6	0.454387656
7	0.4485367425
8	0.4437427217
9	0.4390406639
10	0.4348779397
11	0.4301466417
12	0.425355254
13	0.4204402735
14	0.4156152553
15	0.4116064613
16	0.4076153309
17	0.4027702608
18	0.3994280624
19	0.3958253048
20	0.392088244
21	0.3878804944
22	0.3846876348
23	0.3817889881
24	0.3784134953
25	0.3758218201
26	0.3732251778
27	0.3703033248
28	0.3670609168
29	0.3644145309
30	0.3615435211
31	0.3584658049
32	0.3556938506
33	0.3526913427
34	0.3493458058
35	0.3468490647
36	0.3443937626
37	0.3420306175
38	0.3399705968
39	0.3376826248
40	0.3347207562
41	0.33251726
42	0.3308798001
43	0.3288880871
44	0.3266214689
45	0.3248959342
46	0.3225740585
47	0.3205847752
48	0.3183928497
49	0.3165638376
50	0.3147735902
51	0.3126727475
52	0.3110610826
53	0.3090189854
54	0.3071689142
55	0.3054145536
56	0.3040053184
57	0.3029617801
58	0.3016687883
59	0.3001292836
60	0.2984156033
61	0.296627664
62	0.2948329707
63	0.293120162
64	0.2927887938
65	0.2910485249
66	0.2894861069
67	0.2883931434
68	0.2872179897
69	0.2862814466
70	0.2850746312
71	0.2836994801
72	0.2823109024
73	0.2811284053
74	0.2800643911
75	0.2787043836
76	0.2775822495
77	0.2762937025
78	0.2749968661
79	0.2734368416
80	0.2723040571
81	0.2713109685
82	0.2697323805
83	0.268201229
84	0.2672362942
85	0.2660780383
86	0.2647614389
87	0.2641840071
88	0.2634188646
89	0.2625455229
90	0.2615639451
91	0.260644968
92	0.2601459551
93	0.2591737946
94	0.2579773256
95	0.2565842894
96	0.2553374838
97	0.2545723815
98	0.2537948775
99	0.2529452277
100	0.2521347115
101	0.2516591165
102	0.2502917369
103	0.2494425824
104	0.2482142817
105	0.2473365728
106	0.2463037932
107	0.2454916622
108	0.2448880593
109	0.2444967006
110	0.2437275411
111	0.2429951618
112	0.241990171
113	0.2410898349
114	0.2402481494
115	0.2393193319
116	0.2384743352
117	0.2374703161
118	0.2364156451
119	0.2356903723
120	0.2348926793
121	0.2342418572
122	0.2336681834
123	0.2327199666
124	0.2315782056
125	0.2307480157
126	0.2306754118
127	0.2300194852
128	0.2290991729
129	0.2285110625
130	0.2278123723
131	0.2269389658
132	0.2260303362
133	0.2254308778
134	0.2248109606
135	0.2242213273
136	0.2232803969
137	0.2221473525
138	0.2215487437
139	0.2205381789
140	0.2198333672
141	0.2193619684
142	0.2189442464
143	0.2180702278
144	0.217485821
145	0.216907181
146	0.215918707
147	0.2153927548
148	0.2144849792
149	0.2140973287
150	0.2136097896
151	0.213188237
152	0.2123552784
153	0.211986467
154	0.2111829584
155	0.2102323624
156	0.2093391652
157	0.2090080889
158	0.2088350721
159	0.2079584345
160	0.2070174263
161	0.2066070438
162	0.2062056958
163	0.205630004
164	0.2053681063
165	0.204596182
166	0.2043677422
