iter	Passed	Remaining
0	228	228053
1	229	114743
2	232	77278
3	234	58403
4	236	47132
5	240	39860
6	242	34454
7	244	30367
8	247	27244
9	249	24714
10	252	22661
11	265	21855
12	269	20437
13	271	19147
14	273	17984
15	275	16962
16	277	16064
17	279	15259
18	281	14549
19	285	13998
20	287	13412
21	289	12879
22	291	12397
23	293	11949
24	321	12525
25	323	12120
26	326	11750
27	327	11384
28	329	11045
29	344	11130
30	346	10819
31	352	10670
32	354	10402
33	358	10188
34	360	9941
35	364	9756
36	366	9546
37	368	9336
38	370	9138
39	372	8947
40	374	8769
41	377	8614
42	379	8450
43	381	8291
44	383	8144
45	399	8290
46	403	8189
47	406	8053
48	410	7961
49	412	7835
50	414	7713
51	427	7795
52	458	8189
53	460	8066
54	462	7945
55	465	7839
56	467	7727
57	468	7601
58	470	7498
59	477	7477
60	479	7387
61	481	7292
62	483	7197
63	485	7104
64	488	7032
65	490	6946
66	492	6864
67	500	6856
68	506	6832
69	508	6755
70	517	6775
71	527	6797
72	529	6722
73	568	7109
74	572	7055
75	574	6979
76	576	6907
77	579	6847
78	582	6794
79	588	6763
80	590	6696
81	593	6646
82	595	6581
83	628	6851
84	639	6879
85	644	6852
86	654	6872
87	656	6807
88	658	6742
89	660	6681
90	665	6647
91	667	6588
92	668	6523
93	672	6483
94	674	6426
95	676	6371
96	680	6334
97	682	6282
98	690	6286
99	692	6235
100	698	6219
101	699	6160
102	702	6117
103	704	6069
104	706	6024
105	708	5978
106	712	5948
107	714	5904
108	716	5860
109	718	5816
110	720	5773
111	722	5731
112	730	5736
113	732	5696
114	734	5655
115	736	5616
116	738	5575
117	740	5537
118	745	5517
119	747	5479
120	750	5449
121	802	5773
122	804	5733
123	822	5810
124	826	5784
125	830	5760
126	830	5711
127	832	5672
128	834	5635
129	836	5597
130	840	5573
131	842	5540
132	850	5542
133	852	5510
134	858	5501
135	860	5468
136	864	5446
137	877	5482
138	881	5462
139	883	5428
140	890	5425
141	892	5393
142	894	5361
143	896	5330
144	898	5299
145	908	5312
146	911	5288
147	913	5258
148	931	5322
149	936	5305
150	938	5274
151	940	5245
152	943	5223
153	945	5195
154	948	5170
155	952	5154
156	954	5125
157	958	5106
158	959	5074
